,Project Number,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
95393,169480,1080.0,3.6,4226.0
95394,121549,1296.0,4.32,5071.0
95395,127164,1143.0,4.95,5811.0
95396,122223,1485.0,4.95,5811.0
95397,108882,2744.0,15.37,18042.0
95398,173855,900.0,3.0,3522.0
95399,108938,1505.0,5.02,5887.0
95400,118804,1657.0,7.08,8311.0
95401,177841,4588.0,13.11,15389.0
95402,120682,1296.0,4.32,5071.0
95403,122427,901.0,3.85,4519.0
95404,162453,517.0,3.19,3745.0
95405,181174,3024.0,10.08,11832.0
95406,159370,2412.0,10.44,12255.0
95407,153741,1512.0,5.04,5916.0
95408,153472,1785.0,5.95,6984.0
95409,162428,2756.0,7.88,9244.0
95410,113679,3511.0,10.03,11774.0
95411,164190,1571.0,7.7,9039.0
95412,156594,1124.0,4.93,5787.0
95413,109579,1496.0,4.28,5018.0
95414,109499,1026.0,2.57,3011.0
95415,114567,9460.0,23.65,27761.0
95416,120528,2669.0,7.63,8951.0
95417,152710,27625.0,27.63,32427.0
95418,163499,1512.0,5.04,5916.0
95419,166659,900.0,3.0,3522.0
95420,165497,1224.0,6.09,7149.0
95421,165469,2484.0,8.28,9719.0
95422,161125,4032.0,11.52,13523.0
95423,120688,1305.0,4.35,5106.0
95424,118074,1740.0,4.35,5106.0
95425,126657,1331.0,5.76,6761.0
95426,129262,0.0,4.93,5787.0
95427,163395,972.0,3.24,3803.0
95428,109887,1824.0,4.56,5353.0
95429,159640,1160.0,5.61,6579.0
95430,128111,1350.0,4.5,5282.0
95431,157712,1147.0,5.46,6409.0
95432,173857,2923.0,11.29,13247.0
95433,155085,1785.0,5.95,6984.0
95434,148243,1164.0,5.04,5916.0
95435,110517,1827.0,11.6,13617.0
95436,160223,5292.0,15.12,17748.0
95437,171842,1512.0,5.04,5916.0
95438,127553,2245.0,8.12,9532.0
95439,117851,3600.0,10.08,11832.0
95440,118346,2554.0,10.73,12595.0
95441,179795,2268.0,6.48,7606.0
95442,117762,3319.0,9.48,11132.0
95443,163782,1577.0,6.93,8135.0
95444,142631,2310.0,6.6,7747.0
95445,174664,1404.0,4.68,5494.0
95446,111654,1148.0,4.95,5811.0
95447,120351,1827.0,6.09,7149.0
95448,129189,74498.0,165.55,194329.0
95449,122400,3024.0,8.64,10142.0
95450,155101,909.0,4.64,5447.0
95451,127973,1264.0,5.23,6142.0
95452,128808,819.0,3.5,4108.0
95453,164274,1024.0,4.55,5341.0
95454,167594,2583.0,10.4,12202.0
95455,165401,1120.0,3.2,3756.0
95456,165824,0.0,9.72,11410.0
95457,154439,0.0,5.96,6996.0
95458,120901,3294.0,10.98,12889.0
95459,120474,2562.0,7.32,8593.0
95460,181073,1980.0,6.6,7747.0
95461,113638,0.0,5.89,6914.0
95462,140939,3920.0,11.2,13147.0
95463,159404,3202.0,9.15,10741.0
95464,135758,1140.0,5.76,6761.0
95465,142076,1072.0,4.83,5670.0
95466,179272,11997.0,26.66,31295.0
95467,146911,945.0,4.2,4930.0
95468,165851,1405.0,4.02,4713.0
95469,128940,1072.0,4.64,5447.0
95470,178790,1239.0,4.13,4848.0
95471,153033,744.0,2.48,2911.0
95472,156095,855.0,3.96,4648.0
95473,109951,20520.0,34.2,40145.0
95474,109032,,6.03,7078.0
95475,166766,1050.0,3.5,4108.0
95476,127136,1373.0,3.92,4606.0
95477,175075,2170.0,6.2,7278.0
95478,157479,1871.0,9.45,11093.0
95479,158878,1391.0,8.75,10271.0
95480,126521,718200.0,2872.8,3372208.0
95481,168362,0.0,9.36,10987.0
95482,116707,2195.0,6.27,7360.0
95483,127528,1827.0,5.22,6127.0
95484,114673,5120.0,12.8,15025.0
95485,119580,1969.0,8.75,10271.0
95486,167117,1809.0,7.83,9191.0
95487,154991,2376.0,7.92,9297.0
95488,110453,1947.0,7.32,8593.0
95489,115583,546.0,1.56,1831.0
95490,127680,1421.0,4.06,4766.0
95491,113770,1320.0,3.3,3874.0
95492,169395,4860.0,16.2,19016.0
95493,135143,1232.0,5.95,6984.0
95494,112224,4672.0,11.68,13710.0
95495,160410,1831.0,5.23,6142.0
95496,164471,2977.0,14.18,16639.0
95497,127463,972.0,3.24,3803.0
95498,158964,829.0,4.32,5071.0
95499,160186,2712.0,12.92,15160.0
95500,179054,1620.0,5.4,6339.0
95501,127343,3780.0,12.6,14790.0
95502,165745,112500.0,2284.2,2681285.0
95503,115627,1201.0,3.9,4578.0
95504,164697,2268.0,7.56,8874.0
95505,153701,2700.0,10.15,11914.0
95506,117476,3330.0,15.0,17608.0
95507,180025,5832.0,6.48,7606.0
95508,122311,1470.0,4.2,4930.0
95509,173994,2477.0,11.31,13276.0
95510,130677,3264.0,4.08,4789.0
95511,118370,1921.0,5.49,6444.0
95512,142853,1650.0,6.96,8170.0
95513,121016,1691.0,6.71,7876.0
95514,130715,1030.0,6.6,7747.0
95515,170242,1921.0,5.49,6444.0
95516,165971,1981.0,10.01,11744.0
95517,134541,1279.0,5.76,6761.0
95518,157026,1421.0,4.06,4766.0
95519,161893,3864.0,11.04,12959.0
95520,110015,2857.0,9.16,10748.0
95521,151145,2058.0,8.91,10459.0
95522,146586,1479.0,4.93,5787.0
95523,128365,1680.0,4.8,5634.0
95524,157852,2250.0,7.5,8804.0
95525,167609,1040.0,3.47,4067.0
95526,137942,1710.0,5.7,6691.0
95527,181612,2117.0,10.08,11832.0
95528,164025,2341.0,10.01,11744.0
95529,169133,3185.0,9.1,10682.0
95530,108826,4336.0,14.85,17432.0
95531,112173,2394.0,5.99,7025.0
95532,160365,1654.0,4.73,5546.0
95533,115586,3622.0,10.35,12149.0
95534,158300,2419.0,10.8,12677.0
95535,169366,3360.0,9.6,11269.0
95536,119549,3958.0,11.31,13276.0
95537,156375,1309770.0,5239.08,6149842.0
95538,119817,2048.0,6.83,8011.0
95539,180258,1584.0,5.28,6198.0
95540,112530,2730.0,6.83,8011.0
95541,164847,1615.0,6.9,8099.0
95542,162363,3132.0,10.44,12255.0
95543,127762,2060.0,6.87,8061.0
95544,152641,1620.0,5.4,6339.0
95545,136229,2871.0,9.57,11234.0
95546,133959,1012.0,4.62,5423.0
95547,127257,1950.0,8.85,10383.0
95548,180686,842.0,3.6,4226.0
95549,112108,4725.0,13.5,15847.0
95550,179813,0.0,11.52,13523.0
95551,119149,3622.0,10.35,12149.0
95552,122005,2821.0,8.06,9461.0
95553,116394,4160.0,10.4,12208.0
95554,139145,1568.0,7.36,8639.0
95555,155909,4389.0,12.54,14720.0
95556,152065,913.0,3.9,4578.0
95557,135885,584.0,3.3,3874.0
95558,127987,2033.0,8.8,10330.0
95559,156233,2260.0,8.28,9719.0
95560,114987,1596.0,3.99,4684.0
95561,154195,1296.0,4.32,5071.0
95562,165277,1775.0,8.7,10212.0
95563,114747,4157.0,18.56,21786.0
95564,118390,2212.0,8.54,10025.0
95565,128547,2381.0,7.94,9314.0
95566,127908,1296.0,4.32,5071.0
95567,113145,2442.0,7.93,9309.0
95568,120193,1287.0,4.29,5036.0
95569,115956,2132.0,6.09,7149.0
95570,153328,814.0,3.48,4085.0
95571,181189,2354.0,7.85,9212.0
95572,178618,1766.0,5.89,6909.0
95573,161404,1304.0,6.3,7395.0
95574,163160,901.0,4.29,5036.0
95575,109817,2583.0,8.28,9719.0
95576,180069,0.0,5.4,6339.0
95577,117908,2160.0,5.4,6339.0
95578,114083,1980.0,4.95,5811.0
95579,111119,1296.0,3.24,3803.0
95580,129311,2205.0,6.3,7395.0
95581,146463,1853.0,7.92,9297.0
95582,154247,1836.0,6.12,7184.0
95583,180194,3937.0,11.25,13206.0
95584,118765,8764.0,19.04,22350.0
95585,114402,1436.0,5.7,6691.0
95586,171576,0.0,10.15,11914.0
95587,176460,3885.0,11.1,13030.0
95588,159547,2352.0,6.72,7888.0
95589,151978,3461.0,15.18,17819.0
95590,171018,1472.0,6.72,7888.0
95591,173846,3118.0,16.24,19063.0
95592,157275,1620.0,5.4,6339.0
95593,110694,2077.0,11.05,12971.0
95594,115782,3640.0,10.4,12208.0
95595,181035,0.0,9.9,11621.0
95596,166910,1131.0,3.77,4425.0
95597,118319,2048.0,6.83,8011.0
95598,161526,0.0,5.76,6761.0
95599,125805,1815.0,5.19,6086.0
95600,118254,2880.0,7.2,8452.0
95601,139139,1638.0,4.68,5494.0
95602,153146,2842.0,8.12,9532.0
95603,130056,4032.0,11.52,13523.0
95604,157688,3091.0,12.8,15025.0
95605,133770,1407.0,4.69,5505.0
95606,127206,1080.0,3.6,4226.0
95607,167482,5625000.0,7501.76,8805866.0
95608,179247,1248.0,4.16,4883.0
95609,117126,1151.0,5.22,6127.0
95610,159781,1871.0,8.1,9508.0
95611,166443,1386.0,3.96,4648.0
95612,156438,710.0,2.9,3404.0
95613,154124,1797.0,8.7,10212.0
95614,159160,1680.0,4.8,5634.0
95615,175639,1985.0,7.56,8874.0
95616,155333,1742.0,6.38,7489.0
95617,115334,2599.0,8.55,10036.0
95618,115891,1710.0,4.28,5018.0
95619,156940,1080.0,3.6,4226.0
95620,167550,3230.0,9.23,10835.0
95621,135623,3045.0,8.7,10212.0
95622,152696,0.0,11.21,13159.0
95623,109458,5808.0,14.52,17044.0
95624,181086,2628.0,11.38,13352.0
95625,169095,972.0,3.24,3803.0
95626,167509,77760.0,129.6,152130.0
95627,117137,928.0,2.61,3064.0
95628,116487,3132.0,9.86,11574.0
95629,176543,2656.0,7.59,8909.0
95630,114203,1934.0,6.12,7184.0
95631,161803,0.0,8.1,9508.0
95632,127867,914.0,4.35,5106.0
95633,173599,972.0,3.24,3803.0
95634,112623,924.0,3.3,3874.0
95635,127821,1638.0,7.0,8217.0
95636,116646,1827.0,5.22,6127.0
95637,126599,89424.0,198.72,233265.0
95638,177568,2591.0,10.73,12595.0
95639,111571,1488.0,3.72,4367.0
95640,147805,794.0,4.9,5752.0
95641,130038,2720.0,3.4,3991.0
95642,179415,2256.0,7.52,8828.0
95643,152389,1044.0,3.48,4085.0
95644,110759,1758.0,5.94,6973.0
95645,157909,1580.0,9.24,10846.0
95646,120369,3990.0,11.4,13382.0
95647,167073,5292.0,15.12,17748.0
95648,133810,0.0,7.77,9121.0
95649,172369,2028.0,5.8,6802.0
95650,153492,990.0,3.3,3874.0
95651,172730,0.0,5.76,6761.0
95652,152516,1080.0,3.6,4226.0
95653,144555,2041.0,10.8,12677.0
95654,161493,4106.0,11.73,13769.0
95655,166351,1386.0,6.6,7747.0
95656,163548,1836.0,6.12,7184.0
95657,157192,40320.0,40.32,47329.0
95658,113951,1917.0,12.78,15002.0
95659,161480,1963.0,5.61,6585.0
95660,177251,1777.0,6.51,7642.0
95661,170456,11271.0,16.58,19456.0
95662,163058,969.0,4.68,5494.0
95663,154827,1503.0,7.59,8909.0
95664,157885,1080.0,3.6,4226.0
95665,152366,1530.0,7.5,8804.0
95666,162162,0.0,7.56,8874.0
95667,167640,4778.0,13.65,16023.0
95668,157492,3483.0,15.48,18171.0
95669,111041,1708.0,4.88,5728.0
95670,180548,3308.0,9.45,11093.0
95671,160266,1544.0,4.41,5177.0
95672,120341,4042.0,11.55,13558.0
95673,168211,0.0,11.88,13945.0
95674,117678,2304.0,5.76,6761.0
95675,159118,1344.0,4.48,5259.0
95676,154056,1232.0,3.52,4132.0
95677,115096,3234.0,15.66,18382.0
95678,150053,1674.0,5.58,6550.0
95679,153948,2274.0,13.3,15612.0
95680,167137,1296.0,4.32,5071.0
95681,162559,1783.0,8.37,9825.0
95682,128681,3203.0,9.15,10741.0
95683,126879,2434.0,11.59,13605.0
95684,160800,2562.0,7.32,8593.0
95685,128421,1454.0,4.85,5687.0
95686,115523,1440.0,3.6,4226.0
95687,111489,2160.0,5.4,6339.0
95688,175781,2577.0,10.37,12173.0
95689,111198,1890.0,7.2,8452.0
95690,180369,2292.0,8.51,9984.0
95691,117187,1831.0,5.23,6142.0
95692,122879,1755.0,7.38,8657.0
95693,151478,1092.0,3.64,4273.0
95694,166581,3413.0,9.75,11445.0
95695,118983,1183.0,6.38,7489.0
95696,145748,3981.0,11.38,13352.0
95697,121077,1080.0,3.6,4226.0
95698,166865,1711.0,8.64,10142.0
95699,148708,1932.0,6.44,7560.0
95700,128234,6825.0,27.0,31694.0
95701,119866,1851.0,7.25,8504.0
95702,116276,1428.0,4.08,4789.0
95703,118257,3888.0,9.72,11410.0
95704,137575,19872.0,44.16,51837.0
95705,151035,1555.0,7.2,8452.0
95706,152632,4463.0,29.58,34722.0
95707,116844,1890.0,4.73,5546.0
95708,146410,1117.0,3.19,3745.0
95709,125938,1635.0,9.24,10846.0
95710,158381,1440.0,4.8,5634.0
95711,110540,3570.0,10.2,11973.0
95712,161455,1071.0,5.25,6163.0
95713,138421,1193.0,5.6,6574.0
95714,112843,3720.0,9.3,10917.0
95715,118743,2747.0,7.85,9212.0
95716,164720,2079.0,10.5,12325.0
95717,143824,1860.0,3.1,3639.0
95718,119507,1588.0,7.35,8628.0
95719,116349,1498.0,5.13,6022.0
95720,113230,2496.0,7.13,8369.0
95721,148113,981.0,3.27,3838.0
95722,164625,183553.0,407.9,478803.0
95723,179392,2649.0,8.83,10364.0
95724,114045,3640.0,10.4,12208.0
95725,160767,0.0,6.27,7360.0
95726,151162,2562.0,7.44,8733.0
95727,115240,3518.0,10.05,11797.0
95728,172610,2184.0,9.6,11269.0
95729,163989,1194.0,5.04,5916.0
95730,174235,2245.0,9.72,11410.0
95731,116033,6038.0,17.25,20249.0
95732,109482,2195.0,6.27,7360.0
95733,161368,3038.0,8.68,10189.0
95734,173018,2079.0,9.28,10893.0
95735,115990,1691.0,4.83,5670.0
95736,156577,1410.0,4.03,4731.0
95737,175837,1080.0,3.6,4226.0
95738,170880,1811.0,8.75,10271.0
95739,152096,812.0,2.32,2723.0
95740,122345,1383.0,7.32,8593.0
95741,120800,893.0,3.77,4425.0
95742,153329,2255.0,10.44,12255.0
95743,110392,1932.0,4.83,5670.0
95744,130243,2730.0,7.8,9156.0
95745,154151,1966.0,10.24,12020.0
95746,126957,2657.0,7.59,8909.0
95747,110905,1160.0,2.9,3404.0
95748,159753,950.0,4.06,4766.0
95749,166875,1386.0,7.0,8217.0
95750,128205,3472.0,9.92,11644.0
95751,154646,1068.0,3.05,3580.0
95752,114105,2039.0,7.08,8311.0
95753,168405,1440.0,4.8,5634.0
95754,118972,854.0,2.44,2864.0
95755,180390,589.0,1.96,2303.0
95756,176393,2604.0,7.44,8733.0
95757,117214,2646.0,7.56,8874.0
95758,179875,2348.0,6.71,7876.0
95759,110556,2883.0,9.24,10846.0
95760,180971,1620.0,5.4,6339.0
95761,121395,2002.0,7.63,8951.0
95762,125865,695.0,3.05,3580.0
95763,153193,4340.0,12.4,14556.0
95764,166929,3906.0,11.16,13100.0
95765,158433,1296.0,5.76,6761.0
95766,153003,1836.0,6.12,7184.0
95767,112771,3243.0,14.04,16481.0
95768,156264,1862.0,8.5,9980.0
95769,160253,1404.0,4.68,5494.0
95770,169454,2020.0,9.9,11621.0
95771,152000,900.0,3.0,3522.0
95772,171686,2958.0,8.45,9919.0
95773,156831,1764.0,5.04,5916.0
95774,158929,2160.0,7.2,8452.0
95775,173289,1062.0,3.54,4155.0
95776,110034,2144.0,5.36,6292.0
95777,163375,946.0,4.32,5071.0
95778,170992,3402.0,9.72,11410.0
95779,157827,1472.0,6.54,7677.0
95780,165805,2346.0,8.82,10353.0
95781,166502,2387.0,6.82,8006.0
95782,119810,75000.0,956.4,1122661.0
95783,152774,2268.0,7.56,8874.0
95784,144679,2415.0,6.9,8099.0
95785,159320,2545.0,10.54,12372.0
95786,128518,2436.0,6.96,8170.0
95787,135653,1106.0,5.76,6761.0
95788,111331,1943.0,6.84,8029.0
95789,109511,1271.0,4.5,5282.0
95790,175564,2455.0,7.02,8234.0
95791,152831,0.0,10.65,12501.0
95792,115515,3024.0,8.64,10142.0
95793,142068,4578.0,13.08,15354.0
95794,152791,853.0,3.6,4226.0
95795,159211,1174.0,5.22,6127.0
95796,118694,6148.0,15.37,18041.0
95797,166028,2134.0,9.1,10682.0
95798,118884,807.0,3.66,4296.0
95799,120888,783.0,2.61,3064.0
95800,111939,1596.0,3.99,4684.0
95801,174135,422.0,2.1,2465.0
95802,127245,1985.0,9.45,11093.0
95803,116311,1431.0,5.31,6233.0
95804,180637,885.0,2.95,3463.0
95805,108910,0.0,5.55,6515.0
95806,158700,1138.0,3.8,4455.0
95807,126570,3591.0,13.68,16058.0
95808,181200,2464.0,7.04,8264.0
95809,164347,1544.0,4.41,5177.0
95810,152942,1807.0,8.25,9684.0
95811,117805,1872.0,4.68,5494.0
95812,122668,2100.0,6.0,7043.0
95813,179433,1985.0,5.67,6656.0
95814,112547,824.0,4.23,4959.0
95815,177091,74898.0,124.83,146530.0
95816,113952,446.0,1.64,1919.0
95817,115408,2448.0,6.12,7184.0
95818,158234,2388.0,9.61,11281.0
95819,162315,1260.0,4.2,4930.0
95820,121196,1446.0,6.1,7160.0
95821,127794,1102.0,5.25,6163.0
95822,179669,5072.0,14.49,17009.0
95823,157612,2052.0,6.84,8029.0
95824,112358,6110.0,15.28,17930.0
95825,154958,1620.0,5.4,6339.0
95826,154700,3510.0,10.03,11774.0
95827,118109,5582.0,15.95,18723.0
95828,144480,3308.0,9.45,11093.0
95829,191304,869.0,4.08,4789.0
95830,184146,2685.0,7.67,9003.0
95831,185144,1504.0,5.02,5887.0
95832,181907,1106.0,3.69,4326.0
95833,215238,5915.0,16.9,19838.0
95834,217401,823.0,4.1,4807.0
95835,216780,13000.0,13.0,15260.0
95836,191420,6132.0,17.52,20566.0
95837,203108,1524.0,7.36,8639.0
95838,215474,4410.0,12.6,14790.0
95839,186819,2580.0,7.37,8651.0
95840,188294,1310.0,8.32,9766.0
95841,215793,1508.0,5.03,5899.0
95842,216909,1007.0,3.36,3938.0
95843,185699,1049.0,5.22,6127.0
95844,195007,2898.0,8.28,9719.0
95845,193495,3343.0,17.69,20765.0
95846,219162,1709.0,5.7,6685.0
95847,207592,1800.0,6.0,7043.0
95848,209377,1407.0,4.69,5505.0
95849,187991,1106.0,3.69,4326.0
95850,187663,2268.0,7.56,8874.0
95851,209467,1971.0,6.57,7712.0
95852,192386,1740.0,5.8,6808.0
95853,184866,1188.0,3.96,4648.0
95854,211194,3136.0,8.96,10518.0
95855,210650,1740.0,5.8,6808.0
95856,208139,1953.0,5.58,6550.0
95857,189134,1814.0,9.45,11093.0
95858,215432,2821.0,8.06,9461.0
95859,186860,3116.0,11.72,13752.0
95860,188434,2271.0,13.05,15319.0
95861,190674,4968.0,6.21,7290.0
95862,215578,959.0,5.51,6468.0
95863,208073,1608.0,5.36,6292.0
95864,187145,915.0,4.62,5423.0
95865,215119,3348.0,11.16,13100.0
95866,184070,0.0,8.28,9719.0
95867,207628,2772.0,7.92,9297.0
95868,213864,1533.0,5.11,5998.0
95869,216070,1709.0,5.7,6685.0
95870,193407,1665.0,5.55,6515.0
95871,208979,3752.0,10.72,12584.0
95872,185659,1221.0,5.36,6286.0
95873,217968,986.0,3.29,3856.0
95874,187349,1512.0,5.04,5916.0
95875,183096,1570.0,5.23,6142.0
95876,186975,974.0,4.35,5106.0
95877,212419,2436.0,6.96,8170.0
95878,182266,4550.0,13.0,15260.0
95879,195821,2100.0,6.0,7043.0
95880,188930,1218.0,3.48,4085.0
95881,186378,957.0,3.19,3745.0
95882,186319,1120.0,3.2,3756.0
95883,191740,0.0,6.82,8006.0
95884,191770,915.0,3.05,3580.0
95885,211216,2518.0,7.19,8445.0
95886,203224,960.0,3.2,3756.0
95887,208991,1512.0,5.04,5916.0
95888,210661,2205.0,6.3,7395.0
95889,204660,0.0,5.8,6802.0
95890,184689,1327.0,6.7,7865.0
95891,208475,1281.0,4.27,5012.0
95892,217654,3306.0,11.02,12936.0
95893,210703,1098.0,3.66,4296.0
95894,191879,0.0,4.58,5370.0
95895,182090,1044.0,3.48,4085.0
95896,191850,5608.0,16.02,18808.0
95897,203003,2412.0,8.04,9438.0
95898,190849,2348.0,6.71,7876.0
95899,212360,1998.0,6.66,7818.0
95900,216267,3255.0,9.3,10917.0
95901,191093,2342.0,10.14,11899.0
95902,187294,849649.5,1888.11,2216339.0
95903,212664,2070.0,6.9,8099.0
95904,190290,2083.0,5.95,6984.0
95905,213960,2160.0,7.2,8452.0
95906,217853,2100.0,6.0,7043.0
95907,188115,3465.0,9.9,11621.0
95908,194828,2730.0,7.8,9156.0
95909,190536,1079.0,3.6,4222.0
95910,214577,3638.0,10.4,12202.0
95911,209774,3024.0,8.64,10142.0
95912,214954,3461.0,15.95,18723.0
95913,206226,6867.0,19.62,23031.0
95914,208739,383.0,1.1,1285.0
95915,188727,2222.0,11.06,12977.0
95916,204910,1993.0,5.7,6685.0
95917,189952,1968.0,8.41,9872.0
95918,191629,2415.0,6.9,8099.0
95919,207932,8750.0,26.64,31271.0
95920,209307,2772.0,7.92,9297.0
95921,183547,1242.0,5.67,6656.0
95922,212640,4500.0,6.0,7043.0
95923,206746,1124970.0,5624.85,6602674.0
95924,187904,1373.0,4.58,5374.0
95925,185992,945.0,3.15,3698.0
95926,183032,1418.0,4.73,5546.0
95927,206237,2976.0,8.5,9980.0
95928,211967,712.0,9.13,10711.0
95929,208523,873.0,3.78,4437.0
95930,218297,1229.0,4.1,4807.0
95931,205099,167040.0,371.2,435729.0
95932,203744,788.0,3.47,4067.0
95933,192209,22032.0,48.96,57471.0
95934,195398,1566.0,5.22,6127.0
95935,186504,2958.0,8.45,9919.0
95936,184957,1803.0,8.71,10224.0
95937,214905,1508.0,5.03,5899.0
95938,209365,2052.0,6.84,8029.0
95939,185224,837.0,2.79,3275.0
95940,196768,4216.0,12.05,14139.0
95941,209888,1044.0,3.48,4085.0
95942,205271,1407.0,4.69,5505.0
95943,206330,2088.0,6.96,8170.0
95944,183004,1516.0,9.72,11410.0
95945,184068,1537.0,6.1,7160.0
95946,208211,1305.0,4.35,5106.0
95947,185683,1357.0,5.8,6808.0
95948,182680,1653.0,5.51,6468.0
95949,215249,4846.0,13.85,16252.0
95950,192426,1527.0,7.93,9309.0
95951,204896,1522.0,4.35,5106.0
95952,189263,1302.0,6.48,7606.0
95953,185146,2940.0,8.4,9860.0
95954,188975,2331.0,7.77,9121.0
95955,205909,2814.0,8.04,9438.0
95956,212538,3116.0,10.39,12190.0
95957,186789,1736.0,4.96,5822.0
95958,207561,1328.0,8.68,10189.0
95959,206986,1261.0,6.09,7149.0
95960,194854,3203.0,9.15,10741.0
95961,216755,960.0,3.2,3756.0
95962,216864,2135.0,6.1,7160.0
95963,192991,1144.0,3.27,3838.0
95964,183704,376326.0,624.24,732758.0
95965,189044,8750.0,25.53,29968.0
95966,192620,916.0,2.62,3071.0
95967,192286,4158.0,11.88,13945.0
95968,192486,2079.0,6.93,8135.0
95969,208157,6552.0,8.19,9614.0
95970,185942,1441.0,6.49,7618.0
95971,185431,2174.0,7.25,8504.0
95972,189862,3218.0,10.73,12589.0
95973,183470,178200.0,396.0,464841.0
95974,192829,2340.0,7.8,9156.0
95975,214310,5292.0,15.12,17748.0
95976,219499,1177.0,3.92,4606.0
95977,205162,840.0,2.4,2817.0
95978,208508,3528.0,10.08,11832.0
95979,219093,1106.0,3.69,4326.0
95980,182641,0.0,7.56,8874.0
95981,192790,794.0,3.35,3932.0
95982,218604,3430.0,9.8,11504.0
95983,217286,1910.0,6.37,7471.0
95984,185311,3087.0,8.82,10353.0
95985,181675,1752.0,5.84,6855.0
95986,207894,1173.0,3.35,3932.0
95987,186351,1785.0,5.1,5987.0
95988,218762,1080.0,3.6,4226.0
95989,191844,634.0,2.75,3222.0
95990,211733,1407.0,4.69,5505.0
95991,217107,1809.0,6.03,7078.0
95992,184727,26366.0,58.59,68775.0
95993,205836,1296.0,4.32,5071.0
95994,183806,1323.0,4.41,5177.0
95995,213396,18711.0,31.19,36606.0
95996,211965,6250.0,6.64,7794.0
95997,184250,793.0,3.48,4085.0
95998,212594,3662.0,10.46,12283.0
95999,188909,1134.0,3.78,4437.0
96000,218669,5216.0,21.6,25355.0
96001,186688,1206.0,4.02,4719.0
96002,189565,1306.0,4.36,5112.0
96003,216201,413977.2,2435.16,2858488.0
96004,189543,1647.0,5.49,6444.0
96005,213207,1643.0,5.48,6427.0
96006,213938,1268.0,5.49,6444.0
96007,182002,1728.0,5.76,6761.0
96008,187878,1257.0,5.99,7025.0
96009,191705,1106.0,3.69,4326.0
96010,187892,3021.0,15.7,18425.0
96011,212654,6188.0,8.25,9684.0
96012,186024,1399.0,8.04,9438.0
96013,203759,2660.0,7.6,8921.0
96014,188366,0.0,10.54,12372.0
96015,183556,804.0,2.68,3146.0
96016,209302,1782.0,5.94,6973.0
96017,183041,1932.0,6.44,7560.0
96018,191589,0.0,11.52,13523.0
96019,191971,957.0,3.19,3745.0
96020,189065,1106.0,3.69,4326.0
96021,206288,2111.0,7.04,8258.0
96022,186403,2436.0,8.12,9532.0
96023,215505,1080.0,3.6,4226.0
96024,190566,1905.0,8.82,10353.0
96025,208661,1642.0,4.69,5505.0
96026,205725,3087.0,8.82,10353.0
96027,219672,1302.0,4.34,5094.0
96028,212874,1182.0,7.04,8258.0
96029,218827,2800.0,8.0,9391.0
96030,188629,4232.0,12.09,14192.0
96031,203816,1709.0,7.88,9244.0
96032,183258,1436.0,6.3,7395.0
96033,185469,1565.0,7.56,8874.0
96034,182397,0.0,7.2,8452.0
96035,217863,883.0,2.94,3455.0
96036,218708,945.0,3.15,3698.0
96037,206289,0.0,6.71,7876.0
96038,186440,1424.0,4.75,5570.0
96039,208434,1910.0,6.37,7471.0
96040,219041,1188.0,3.96,4648.0
96041,211847,1608.0,5.36,6292.0
96042,183712,1646.0,7.04,8258.0
96043,208631,2646.0,8.82,10353.0
96044,186291,870.0,2.9,3404.0
96045,191783,1044.0,3.48,4085.0
96046,192682,2145.0,7.15,8393.0
96047,183881,3071.0,6.83,8011.0
96048,202102,2415.0,8.05,9449.0
96049,184694,2010.0,6.7,7865.0
96050,210367,3350.0,9.57,11234.0
96051,203296,1373.0,4.58,5370.0
96052,189421,972.0,3.24,3803.0
96053,185560,0.0,7.2,8452.0
96054,191444,2555.0,9.74,11427.0
96055,190941,2688.0,7.68,9015.0
96056,196936,1040.0,5.03,5899.0
96057,188015,1080.0,3.6,4226.0
96058,213982,1080.0,3.6,4226.0
96059,187133,12118.0,33.66,39511.0
96060,182167,3434.0,9.81,11515.0
96061,190781,2278.0,6.51,7642.0
96062,214407,1242.0,4.14,4860.0
96063,204478,1051.0,4.35,5106.0
96064,214109,1560.0,5.2,6104.0
96065,209562,1508.0,5.03,5899.0
96066,210950,6048.0,13.44,15776.0
96067,217467,1890.0,5.4,6339.0
96068,210208,1190.0,3.97,4654.0
96069,217063,7392.0,21.12,24792.0
96070,184387,1570.0,7.37,8651.0
96071,184572,1516.0,6.48,7606.0
96072,208910,562215.0,749.62,879934.0
96073,186674,1314.0,4.38,5141.0
96074,189152,2148.0,10.85,12736.0
96075,182584,7728.0,22.08,25918.0
96076,182814,1386.0,3.96,4648.0
96077,191516,2830.0,10.5,12325.0
96078,193452,803.0,4.41,5177.0
96079,185799,1404.0,4.68,5494.0
96080,207388,2312.0,7.71,9044.0
96081,210002,3749.0,10.71,12572.0
96082,194944,4799256.0,5246.28,6158293.0
96083,207698,3168.0,10.56,12396.0
96084,187738,3412.0,9.75,11445.0
96085,219356,4190.0,11.97,14051.0
96086,216971,1922.0,6.41,7518.0
96087,206576,2400.0,8.0,9391.0
96088,194109,2387.0,6.82,8006.0
96089,211016,1827.0,6.09,7149.0
96090,206833,905.0,3.02,3539.0
96091,192609,1831.0,5.23,6142.0
96092,204140,2739.0,9.13,10717.0
96093,192103,1858.0,5.31,6233.0
96094,214794,1314.0,4.38,5141.0
