,Project Number,Contractor
21692,4354-69954,"Sunrise Solar Solutions, LLC"
21693,4354-65634-GJ,"Sunrise Solar Solutions, LLC"
21694,4116-37439,"Solar Liberty Energy Systems, Inc."
21695,4247-39093,"Alternative Power Solutions of NY, LLC"
21696,4202-19574,Best Energy Power
21697,4143-002,"ETM Solar Works, Inc."
21698,4247-22971,"Alternative Power Solutions of NY, LLC"
21699,4493-51846-GJ,Direct Energy Solar (formerly Astrum)
21700,4116-30611,"Solar Liberty Energy Systems, Inc."
21701,4120-20450,"Island Solar Energy, LLC"
21702,4399-23677,"ETM Solar Works, Inc."
21703,4274-30679,Burke Electrical Contractors Inc. (dba Burke Electric and Solar)
21704,4158-093,"Alteris RPS, LLC"
21705,4362-67135,"Monolith Solar Associates, LLC"
21706,4158-164,"Alteris RPS, LLC"
21707,4643-31820,Tesla Energy Operations Inc.
21708,4635-44131,Renewable Rochester (dba for Viola Homes)
21709,4630-99674,Skyline Solar Inc.
21710,4590-65495,John Mills Electric
21711,4301-35840,"Positive Energy NY, LLC"
21712,4124-20810,"O'Connell Electric Co., Inc."
21713,4548-33089,"Monolith Solar Associates, LLC"
21714,4362-38593,"Monolith Solar Associates, LLC"
21715,4465-20930,Home Star Solar
21716,4433-53192,"Majestic Son & Sons, Inc."
21717,4250-63079,"Green Power Solutions, Inc"
21718,4627-57699,"O'Connell Electric Co., Inc."
21719,4355-72564-GJ,"SuNation Solar Systems, Inc."
21720,4484-21889,Pro-Tech Energy Solutions
21721,4533-88003,"Apex Solar Power, LLC"
21722,4611-54455,"CNY Solar, Inc."
21723,4609-20712,"OnForce Solar, Inc."
21724,4116-66975-GJ,"Solar Liberty Energy Systems, Inc."
21725,4116-72551,"Solar Liberty Energy Systems, Inc."
21726,4355-84488-GJ,"SuNation Solar Systems, Inc."
21727,4373-38478,SunBlue Energy (dba for Florenton River LLC)
21728,4170-19839,Mercury Solar
21729,4629-55882-GJ,Harvest Power
21730,4183-79865,"Ross Solar Group, LLC"
21731,4630-32282,Skyline Solar Inc.
21732,4260-36634,"Fourth Coast, Inc"
21733,4343-18627-A,Adirondack Solar
21734,4493-27752,Direct Energy Solar (formerly Astrum)
21735,4473-48026,Lighthouse Solar (dba for Sun Source Technologies)
21736,4594-68752,"Eastern Energy Systems, Inc."
21737,4604-35719,"Allura Solar (dba for Epergy, LLC)"
21738,4116-88648,"Solar Liberty Energy Systems, Inc."
21739,4147-68223,"SOLARgeneration, Inc."
21740,4443-101332,CIR Electrical Construction Corp.
21741,4354-31802,"Sunrise Solar Solutions, LLC"
21742,4627-59739,"O'Connell Electric Co., Inc."
21743,4508-20908,"Lotus Energy, Inc."
21744,4533-102900,"Apex Solar Power, LLC"
21745,4426-35340,"Malcarne Contracting, Inc."
21746,4627-81846,"O'Connell Electric Co., Inc."
21747,4116-99104,"Solar Liberty Energy Systems, Inc."
21748,4611-29118,"CNY Solar, Inc."
21749,4362-34669,"Monolith Solar Associates, LLC"
21750,4281-91583,Northern Lights Energy
21751,4533-98467,"Apex Solar Power, LLC"
21752,4533-67156,"Apex Solar Power, LLC"
21753,4611-57389,"CNY Solar, Inc."
21754,4373-33590,SunBlue Energy (dba for Florenton River LLC)
21755,4160-88244-GJ,"Energy By Choice, Ltd."
21756,4635-29448,Renewable Rochester (dba for Viola Homes)
21757,4116-055,"Solar Liberty Energy Systems, Inc."
21758,4154-67883,Green Logic LLC
21759,4156-36308,Sea Bright Solar
21760,4421-72588,Northern Solar (dba for D&D Artisans)
21761,4354-40891-GJ,"Sunrise Solar Solutions, LLC"
21762,4635-30549,Renewable Rochester (dba for Viola Homes)
21763,4555-57223,GreenSpark Solar (dba for Sustainable Energy Developments)
21764,4564-47772,RGS Energy
21765,4156-34166,Sea Bright Solar
21766,4635-94391,Renewable Rochester (dba for Viola Homes)
21767,4354-45434,"Sunrise Solar Solutions, LLC"
21768,4173-012,Adirondack Solar
21769,4548-76639-GJ,"Monolith Solar Associates, LLC"
21770,4629-98381,Harvest Power
21771,4202-34696,Best Energy Power
21772,4464-48700,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
21773,4376-96292-GJ,"EmPower CES, LLC"
21774,4354-69562,"Sunrise Solar Solutions, LLC"
21775,4180-011,NY Wind and Sun (Courtney Rutherford)
21776,4116-29362,"Solar Liberty Energy Systems, Inc."
21777,4362-33720,"Monolith Solar Associates, LLC"
21778,4433-65506-GJ,"Majestic Son & Sons, Inc."
21779,4148-19654,"SOLARgeneration, Inc."
21780,4521-31545,Upstate Alternative Energy
21781,4376-28069,"EmPower CES, LLC"
21782,4116-69446,"Solar Liberty Energy Systems, Inc."
21783,4202-23055,Best Energy Power
21784,4504-46091,Buselli Plumbing Heating and Electric
21785,4116-24082,"Solar Liberty Energy Systems, Inc."
21786,4235-41509,Quinn's Green Power
21787,4156-001,Sea Bright Solar
21788,4376-80017,"EmPower CES, LLC"
21789,4355-50976,"SuNation Solar Systems, Inc."
21790,4354-95853,"Sunrise Solar Solutions, LLC"
21791,4376-53190-GJ,"EmPower CES, LLC"
21792,4373-68376,SunBlue Energy (dba for Florenton River LLC)
21793,4202-51164,Best Energy Power
21794,4154-0310-Financing,Green Logic LLC
21795,4355-0058-Financing,"SuNation Solar Systems, Inc."
21796,4627-95911,"O'Connell Electric Co., Inc."
21797,4362-33433,"Monolith Solar Associates, LLC"
21798,4376-52366-GJ,"EmPower CES, LLC"
21799,4533-70830,"Apex Solar Power, LLC"
21800,4135-021,"Sundog Solar, Inc."
21801,4116-69443,"Solar Liberty Energy Systems, Inc."
21802,4629-89565-GJ,Harvest Power
21803,4116-20503,"Solar Liberty Energy Systems, Inc."
21804,4188-012,Upstate Energy Solutions
21805,4376-60476,"EmPower CES, LLC"
21806,4183-68332,"Ross Solar Group, LLC"
21807,4154-69655-GJ,Green Logic LLC
21808,4443-66621,CIR Electrical Construction Corp.
21809,4301-61744-GJ,"Positive Energy NY, LLC"
21810,4147-024,"SOLARgeneration, Inc."
21811,4376-78183-GJ,"EmPower CES, LLC"
21812,4473-50177,Lighthouse Solar (dba for Sun Source Technologies)
21813,4116-51415,"Solar Liberty Energy Systems, Inc."
21814,4533-60942,"Apex Solar Power, LLC"
21815,4154-81523,Green Logic LLC
21816,4260-88892,"Fourth Coast, Inc"
21817,4629-62312-GJ,Harvest Power
21818,4197-008,"Solar Works, Inc."
21819,4355-75493,"SuNation Solar Systems, Inc."
21820,4116-42092,"Solar Liberty Energy Systems, Inc."
21821,4116-210,"Solar Liberty Energy Systems, Inc."
21822,4355-53392,"SuNation Solar Systems, Inc."
21823,4493-24026,Direct Energy Solar (formerly Astrum)
21824,4611-76717,"CNY Solar, Inc."
21825,4369-001,Halco Renewable Energy (dba for Halcyon)
21826,4154-65826-GJ,Green Logic LLC
21827,4629-96246,Harvest Power
21828,4382-98129,"Invictus Electrical, LLC"
21829,4170-27540,Mercury Solar
21830,4502-26826,"You Save Green, Inc"
21831,4533-87146,"Apex Solar Power, LLC"
21832,4575-41341,TM Montante Solar Developments LLC
21833,4247-62816,"Alternative Power Solutions of NY, LLC"
21834,4533-52815-GJ,"Apex Solar Power, LLC"
21835,4355-81149,"SuNation Solar Systems, Inc."
21836,4590-98784,John Mills Electric
21837,4627-25316,"O'Connell Electric Co., Inc."
21838,4116-89648,"Solar Liberty Energy Systems, Inc."
21839,4473-60394-GJ,Lighthouse Solar (dba for Sun Source Technologies)
21840,4116-37364,"Solar Liberty Energy Systems, Inc."
21841,4354-34240,"Sunrise Solar Solutions, LLC"
21842,4635-42859,Renewable Rochester (dba for Viola Homes)
21843,4373-22010,SunBlue Energy (dba for Florenton River LLC)
21844,4564-52146-GJ,RGS Energy
21845,4356-19902,"Monolith Solar Associates, LLC"
21846,4629-81644,Harvest Power
21847,4355-87484-GJ,"SuNation Solar Systems, Inc."
21848,4548-99882,"Monolith Solar Associates, LLC"
21849,4629-63496,Harvest Power
21850,4355-68121-GJ,"SuNation Solar Systems, Inc."
21851,4170-159,Mercury Solar
21852,4533-70181,"Apex Solar Power, LLC"
21853,4355-56861,"SuNation Solar Systems, Inc."
21854,4611-47666,"CNY Solar, Inc."
21855,4376-65017,"EmPower CES, LLC"
21856,4627-49611,"O'Connell Electric Co., Inc."
21857,4362-37572,"Monolith Solar Associates, LLC"
21858,4160-67034,"Energy By Choice, Ltd."
21859,4117-37318,1st Light Energy
21860,4154-71643,Green Logic LLC
21861,4116-53286-GJ,"Solar Liberty Energy Systems, Inc."
21862,4611-95877,"CNY Solar, Inc."
21863,4355-89841,"SuNation Solar Systems, Inc."
21864,4502-43376-GJ,"You Save Green, Inc"
21865,4611-80838,"CNY Solar, Inc."
21866,4443-61739-GJ,CIR Electrical Construction Corp.
21867,4170-157,Mercury Solar
21868,4433-54090,"Majestic Son & Sons, Inc."
21869,4473-25412,Lighthouse Solar (dba for Sun Source Technologies)
21870,4548-34129,"Monolith Solar Associates, LLC"
21871,4629-81642-GJ,Harvest Power
21872,4183-67650-GJ,"Ross Solar Group, LLC"
21873,4122-001,Alternative Power and Light
21874,4306-41185,"Solar One, Inc."
21875,4170-20089,Mercury Solar
21876,4376-0288-Financing,"EmPower CES, LLC"
21877,4643-26789,Tesla Energy Operations Inc.
21878,4376-46121-GJ,"EmPower CES, LLC"
21879,4548-58158,"Monolith Solar Associates, LLC"
21880,4564-97137,RGS Energy
21881,4643-32095,Tesla Energy Operations Inc.
21882,4369-23544,Halco Renewable Energy (dba for Halcyon)
21883,4564-49595,RGS Energy
21884,4533-101082,"Apex Solar Power, LLC"
21885,4354-93020,"Sunrise Solar Solutions, LLC"
21886,4630-81858,Skyline Solar Inc.
21887,4247-40806,"Alternative Power Solutions of NY, LLC"
21888,4643-31027,Tesla Energy Operations Inc.
21889,4116-88466,"Solar Liberty Energy Systems, Inc."
21890,4390-29081,National Grid Energy Management
21891,4555-67681,GreenSpark Solar (dba for Sustainable Energy Developments)
21892,4633-76057,New York State Solar Farm
21893,4493-47510-GJ,Direct Energy Solar (formerly Astrum)
21894,4154-84765-GJ,Green Logic LLC
21895,4153-001,Alternative Power Systems
21896,4202-24222,Best Energy Power
21897,4495-58408,"Power Guru, LLC"
21898,4548-79122,"Monolith Solar Associates, LLC"
21899,4502-31363,"You Save Green, Inc"
21900,4611-52862,"CNY Solar, Inc."
21901,4355-0162-Financing,"SuNation Solar Systems, Inc."
21902,4564-64173,RGS Energy
21903,4154-62207-GJ,Green Logic LLC
21904,4376-90841-GJ,"EmPower CES, LLC"
21905,4154-60455,Green Logic LLC
21906,4473-24595,Lighthouse Solar (dba for Sun Source Technologies)
21907,4643-29564,Tesla Energy Operations Inc.
21908,4250-100537,"Green Power Solutions, Inc"
21909,4116-100385,"Solar Liberty Energy Systems, Inc."
21910,4564-54855,RGS Energy
21911,4116-25169,"Solar Liberty Energy Systems, Inc."
21912,4443-101333,CIR Electrical Construction Corp.
21913,4355-68928-GJ,"SuNation Solar Systems, Inc."
21914,4635-57755,Renewable Rochester (dba for Viola Homes)
21915,4611-30640,"CNY Solar, Inc."
21916,4161-22970,Northeast Emergency Power Systems (Michael Parks)
21917,4355-82238,"SuNation Solar Systems, Inc."
21918,4502-90333-GJ,"You Save Green, Inc"
21919,4443-76645-GJ,CIR Electrical Construction Corp.
21920,4502-67448,"You Save Green, Inc"
21921,4493-62007-GJ,Direct Energy Solar (formerly Astrum)
21922,4635-41544,Renewable Rochester (dba for Viola Homes)
21923,4355-46212,"SuNation Solar Systems, Inc."
21924,4533-98939,"Apex Solar Power, LLC"
21925,4564-26635,RGS Energy
21926,4533-85517,"Apex Solar Power, LLC"
21927,4355-84342-GJ,"SuNation Solar Systems, Inc."
21928,4533-88166,"Apex Solar Power, LLC"
21929,4643-33069,Tesla Energy Operations Inc.
21930,4124-036,"O'Connell Electric Co., Inc."
21931,4116-31481,"Solar Liberty Energy Systems, Inc."
21932,4355-0120-Financing,"SuNation Solar Systems, Inc."
21933,4633-36636,New York State Solar Farm
21934,4355-0190-Financing,"SuNation Solar Systems, Inc."
21935,4376-90377-GJ,"EmPower CES, LLC"
21936,4533-49366-GJ,"Apex Solar Power, LLC"
21937,4116-098,"Solar Liberty Energy Systems, Inc."
21938,4643-31879,Tesla Energy Operations Inc.
21939,4376-54291-GJ,"EmPower CES, LLC"
21940,4533-72719,"Apex Solar Power, LLC"
21941,4183-48106,"Ross Solar Group, LLC"
21942,4493-56497-GJ,Direct Energy Solar (formerly Astrum)
21943,4355-96534-GJ,"SuNation Solar Systems, Inc."
21944,4502-55238-GJ-IRH,"You Save Green, Inc"
21945,4629-0200-Financing,Harvest Power
21946,4116-183,"Solar Liberty Energy Systems, Inc."
21947,4116-36692,"Solar Liberty Energy Systems, Inc."
21948,4355-70110,"SuNation Solar Systems, Inc."
21949,4154-77061-GJ,Green Logic LLC
21950,4585-76664-GJ,"Solar Alchemy, Inc."
21951,4116-39715,"Solar Liberty Energy Systems, Inc."
21952,4116-58841,"Solar Liberty Energy Systems, Inc."
21953,4355-70562-GJ,"SuNation Solar Systems, Inc."
21954,4433-51880,"Majestic Son & Sons, Inc."
21955,4362-26760,"Monolith Solar Associates, LLC"
21956,4643-32189,Tesla Energy Operations Inc.
21957,4116-33881,"Solar Liberty Energy Systems, Inc."
21958,4373-76109,SunBlue Energy (dba for Florenton River LLC)
21959,4473-34784,Lighthouse Solar (dba for Sun Source Technologies)
21960,4116-86273,"Solar Liberty Energy Systems, Inc."
21961,4548-94188,"Monolith Solar Associates, LLC"
21962,4376-61456-GJ,"EmPower CES, LLC"
21963,4355-75559-GJ,"SuNation Solar Systems, Inc."
21964,4550-76249,Rural Generation & Wind
21965,4473-38346,Lighthouse Solar (dba for Sun Source Technologies)
21966,4154-61641,Green Logic LLC
21967,4630-30546,Skyline Solar Inc.
21968,4281-38288,Northern Lights Energy
21969,4202-20445,Best Energy Power
21970,4564-53193,RGS Energy
21971,4376-59962,"EmPower CES, LLC"
21972,4433-61671-GJ,"Majestic Son & Sons, Inc."
21973,4590-83118,John Mills Electric
21974,4355-93819-GJ,"SuNation Solar Systems, Inc."
21975,4493-59878-GJ,Direct Energy Solar (formerly Astrum)
21976,4149-011,"Ecovis, Inc. (formerly Quality Solar)"
21977,4609-39724-GJ,"OnForce Solar, Inc."
21978,4629-48243-GJ,Harvest Power
21979,4154-62220-GJ,Green Logic LLC
21980,4355-69134,"SuNation Solar Systems, Inc."
21981,4154-59932,Green Logic LLC
21982,4521-37773,Upstate Alternative Energy
21983,4160-76398,"Energy By Choice, Ltd."
21984,4154-77857-GJ,Green Logic LLC
21985,4564-24954,RGS Energy
21986,4355-61098-GJ,"SuNation Solar Systems, Inc."
21987,4283-34310,Catskill Solar (dba for Quixotic Enterprices or Wire Nutz Electric)
21988,4633-97262,New York State Solar Farm
21989,4116-19329,"Solar Liberty Energy Systems, Inc."
21990,4502-40476,"You Save Green, Inc"
21991,4533-36004,"Apex Solar Power, LLC"
21992,4629-53807-GJ,Harvest Power
21993,4376-48206,"EmPower CES, LLC"
21994,4116-88332,"Solar Liberty Energy Systems, Inc."
21995,4473-31417,Lighthouse Solar (dba for Sun Source Technologies)
21996,4629-55535-GJ,Harvest Power
21997,4156-19382,Sea Bright Solar
21998,4635-39755,Renewable Rochester (dba for Viola Homes)
21999,4362-37124,"Monolith Solar Associates, LLC"
22000,4149-58171,"Ecovis, Inc. (formerly Quality Solar)"
22001,4341-23702,LTHS
22002,4170-20083,Mercury Solar
22003,4548-35146,"Monolith Solar Associates, LLC"
22004,4533-93992,"Apex Solar Power, LLC"
22005,4473-42235-GJ,Lighthouse Solar (dba for Sun Source Technologies)
22006,4247-82135,"Alternative Power Solutions of NY, LLC"
22007,4629-99723-H-GJ,Harvest Power
22008,4521-55796,Upstate Alternative Energy
22009,4443-94173,CIR Electrical Construction Corp.
22010,4502-61941-GJ,"You Save Green, Inc"
22011,4116-48957,"Solar Liberty Energy Systems, Inc."
22012,4116-26655,"Solar Liberty Energy Systems, Inc."
22013,4154-96031-GJ,Green Logic LLC
22014,4281-29612,Northern Lights Energy
22015,4633-63092,New York State Solar Farm
22016,4354-31774,"Sunrise Solar Solutions, LLC"
22017,4355-70557-GJ,"SuNation Solar Systems, Inc."
22018,4564-44057,RGS Energy
22019,4354-48748,"Sunrise Solar Solutions, LLC"
22020,4611-60541,"CNY Solar, Inc."
22021,4362-25798,"Monolith Solar Associates, LLC"
22022,4533-99543,"Apex Solar Power, LLC"
22023,4376-58893,"EmPower CES, LLC"
22024,4323-24949,A-Best Energy Power
22025,4362-64780,"Monolith Solar Associates, LLC"
22026,4116-199,"Solar Liberty Energy Systems, Inc."
22027,4548-83545,"Monolith Solar Associates, LLC"
22028,4116-43829,"Solar Liberty Energy Systems, Inc."
22029,4643-30281,Tesla Energy Operations Inc.
22030,4548-30743,"Monolith Solar Associates, LLC"
22031,4548-23471,"Monolith Solar Associates, LLC"
22032,4439-24500,"Alternative Power Solutions of NY, LLC"
22033,4422-68004,Staten Island Renewable Energy Corp.
22034,4116-128,"Solar Liberty Energy Systems, Inc."
22035,4247-35426,"Alternative Power Solutions of NY, LLC"
22036,4548-31684,"Monolith Solar Associates, LLC"
22037,4116-36915,"Solar Liberty Energy Systems, Inc."
22038,4376-67041-GJ,"EmPower CES, LLC"
22039,4217-003,"Conscious Energy, Inc."
22040,4188-32506,Upstate Energy Solutions
22041,4154-79333,Green Logic LLC
22042,4376-94857-GJ,"EmPower CES, LLC"
22043,4564-57031,RGS Energy
22044,4139-005,RGS Energy
22045,4376-58594-GJ,"EmPower CES, LLC"
22046,4548-62655,"Monolith Solar Associates, LLC"
22047,4117-004,1st Light Energy
22048,4548-70190,"Monolith Solar Associates, LLC"
22049,4355-84618-GJ,"SuNation Solar Systems, Inc."
22050,4362-38566,"Monolith Solar Associates, LLC"
22051,4355-48534,"SuNation Solar Systems, Inc."
22052,4564-41587,RGS Energy
22053,4362-31996,"Monolith Solar Associates, LLC"
22054,4643-28478,Tesla Energy Operations Inc.
22055,4255-69234,"Enlighten Power Solutions, LLC"
22056,4116-94639,"Solar Liberty Energy Systems, Inc."
22057,4154-72061-GJ,Green Logic LLC
22058,4170-098,Mercury Solar
22059,4611-83655,"CNY Solar, Inc."
22060,4502-43072-GJ,"You Save Green, Inc"
22061,4116-20084,"Solar Liberty Energy Systems, Inc."
22062,4247-99128,"Alternative Power Solutions of NY, LLC"
22063,4643-33654,Tesla Energy Operations Inc.
22064,4373-50281,SunBlue Energy (dba for Florenton River LLC)
22065,4153-20910,Alternative Power Systems
22066,4633-83547,New York State Solar Farm
22067,4584-20439,The Home Depot
22068,4594-65692,"Eastern Energy Systems, Inc."
22069,4643-26803,Tesla Energy Operations Inc.
22070,4154-93190,Green Logic LLC
22071,4376-76088,"EmPower CES, LLC"
22072,4578-22650,"O'Connell Electric Co., Inc."
22073,4161-20747,Northeast Emergency Power Systems (Michael Parks)
22074,4154-50889-GJ,Green Logic LLC
22075,4202-44430,Best Energy Power
22076,4521-86274,Upstate Alternative Energy
22077,4633-93178,New York State Solar Farm
22078,4502-48821-GJ,"You Save Green, Inc"
22079,4502-72823-GJ,"You Save Green, Inc"
22080,4502-33599,"You Save Green, Inc"
22081,4643-28416,Tesla Energy Operations Inc.
22082,4354-99590,"Sunrise Solar Solutions, LLC"
22083,4149-020,"Ecovis, Inc. (formerly Quality Solar)"
22084,4116-22269,"Solar Liberty Energy Systems, Inc."
22085,4362-63912,"Monolith Solar Associates, LLC"
22086,4170-079,Mercury Solar
22087,4493-51382-GJ,Direct Energy Solar (formerly Astrum)
22088,4154-48239-GJ,Green Logic LLC
22089,4493-26682,Direct Energy Solar (formerly Astrum)
22090,4611-45618,"CNY Solar, Inc."
22091,4154-63350-GJ,Green Logic LLC
22092,4154-91373-GJ,Green Logic LLC
22093,4355-77569,"SuNation Solar Systems, Inc."
22094,4354-60951,"Sunrise Solar Solutions, LLC"
22095,4611-27899,"CNY Solar, Inc."
22096,4629-61330 GJ,Harvest Power
22097,4629-77029-GJ,Harvest Power
22098,4533-76157,"Apex Solar Power, LLC"
22099,4373-29011,SunBlue Energy (dba for Florenton River LLC)
22100,4202-30139,Best Energy Power
22101,4629-83560,Harvest Power
22102,4154-65015,Green Logic LLC
22103,4354-24132,"Sunrise Solar Solutions, LLC"
22104,4493-29005,Direct Energy Solar (formerly Astrum)
22105,4533-34938,"Apex Solar Power, LLC"
22106,4643-31534,Tesla Energy Operations Inc.
22107,4629-77758-GJ,Harvest Power
22108,4147-021,"SOLARgeneration, Inc."
22109,4154-76400,Green Logic LLC
22110,4158-149,"Alteris RPS, LLC"
22111,4627-66533-GJ,"O'Connell Electric Co., Inc."
22112,4355-0018-Financing,"SuNation Solar Systems, Inc."
22113,4116-41373,"Solar Liberty Energy Systems, Inc."
22114,4158-20807,"Alteris RPS, LLC"
22115,4154-92812-GJ,Green Logic LLC
22116,4354-69719,"Sunrise Solar Solutions, LLC"
22117,4533-102462,"Apex Solar Power, LLC"
22118,4443-34315,CIR Electrical Construction Corp.
22119,4502-49426-GJ,"You Save Green, Inc"
22120,4533-78157,"Apex Solar Power, LLC"
22121,4183-64945,"Ross Solar Group, LLC"
22122,4643-32841,Tesla Energy Operations Inc.
22123,4154-65430,Green Logic LLC
22124,4247-72770,"Alternative Power Solutions of NY, LLC"
22125,4376-96376,"EmPower CES, LLC"
22126,4406-20454,"Prime Solar Power, LLC"
22127,4355-92115-GJ,"SuNation Solar Systems, Inc."
22128,4116-76255,"Solar Liberty Energy Systems, Inc."
22129,4533-88913,"Apex Solar Power, LLC"
22130,4355-60492-GJ,"SuNation Solar Systems, Inc."
22131,4260-63072,"Fourth Coast, Inc"
22132,4119-19663,"Crest Solar, LLC"
22133,4382-29440,"Invictus Electrical, LLC"
22134,4135-064,"Sundog Solar, Inc."
22135,4355-92805-GJ,"SuNation Solar Systems, Inc."
22136,4493-38289,Direct Energy Solar (formerly Astrum)
22137,4116-63706-GJ,"Solar Liberty Energy Systems, Inc."
22138,4548-28286,"Monolith Solar Associates, LLC"
22139,4116-27316,"Solar Liberty Energy Systems, Inc."
22140,4643-28294,Tesla Energy Operations Inc.
22141,4554-25166,Kirchhoff Green Energy
22142,4355-75562-GJ,"SuNation Solar Systems, Inc."
22143,4211-41755,Revolution Solar (dba for Doherty Electric)
22144,4156-41663,Sea Bright Solar
22145,4553-23438,Pinnacle Energy Technology Inc.
22146,4355-79285,"SuNation Solar Systems, Inc."
22147,4170-136,Mercury Solar
22148,4355-95998-GJ,"SuNation Solar Systems, Inc."
22149,4629-48245-GJ,Harvest Power
22150,4433-72579,"Majestic Son & Sons, Inc."
22151,4362-41628,"Monolith Solar Associates, LLC"
22152,4575-51445,TM Montante Solar Developments LLC
22153,4202-20963,Best Energy Power
22154,4116-093,"Solar Liberty Energy Systems, Inc."
22155,4117-43534,1st Light Energy
22156,4633-72756,New York State Solar Farm
22157,4301-40989,"Positive Energy NY, LLC"
22158,4533-72862,"Apex Solar Power, LLC"
22159,4183-22305,"Ross Solar Group, LLC"
22160,4611-62726,"CNY Solar, Inc."
22161,4627-35638,"O'Connell Electric Co., Inc."
22162,4202-34692,Best Energy Power
22163,4443-76304,CIR Electrical Construction Corp.
22164,4158-060,"Alteris RPS, LLC"
22165,4376-42662,"EmPower CES, LLC"
22166,4170-29016,Mercury Solar
22167,4116-66761,"Solar Liberty Energy Systems, Inc."
22168,4362-48508,"Monolith Solar Associates, LLC"
22169,4533-66629,"Apex Solar Power, LLC"
22170,4355-78536-GJ,"SuNation Solar Systems, Inc."
22171,4376-68255XX-JP,"EmPower CES, LLC"
22172,4548-49585,"Monolith Solar Associates, LLC"
22173,4355-73621-GJ,"SuNation Solar Systems, Inc."
22174,4643-31915,Tesla Energy Operations Inc.
22175,4116-37903,"Solar Liberty Energy Systems, Inc."
22176,4313-20071,"New Generation Energy & Environment, Inc."
22177,4281-26493,Northern Lights Energy
22178,4116-100188,"Solar Liberty Energy Systems, Inc."
22179,4443-30804,CIR Electrical Construction Corp.
22180,4202-24269,Best Energy Power
22181,4502-34753,"You Save Green, Inc"
22182,4355-25202,"SuNation Solar Systems, Inc."
22183,4354-68922,"Sunrise Solar Solutions, LLC"
22184,4493-30644,Direct Energy Solar (formerly Astrum)
22185,4355-59622-GJ,"SuNation Solar Systems, Inc."
22186,4493-29550,Direct Energy Solar (formerly Astrum)
22187,4376-50111,"EmPower CES, LLC"
22188,4493-26237,Direct Energy Solar (formerly Astrum)
22189,4376-20932,"EmPower CES, LLC"
22190,4149-20443,"Ecovis, Inc. (formerly Quality Solar)"
22191,4355-60726-GJ,"SuNation Solar Systems, Inc."
22192,4564-37952,RGS Energy
22193,4170-117,Mercury Solar
22194,4116-25844,"Solar Liberty Energy Systems, Inc."
22195,4643-30355,Tesla Energy Operations Inc.
22196,4154-53959-GJ,Green Logic LLC
22197,4119-23161,"Crest Solar, LLC"
22198,4493-44239-GJ,Direct Energy Solar (formerly Astrum)
22199,4116-59469,"Solar Liberty Energy Systems, Inc."
22200,4116-61309,"Solar Liberty Energy Systems, Inc."
22201,4154-56264,Green Logic LLC
22202,4147-36592,"SOLARgeneration, Inc."
22203,4158-117,"Alteris RPS, LLC"
22204,4154-53312-GJ,Green Logic LLC
22205,4611-71452,"CNY Solar, Inc."
22206,4629-96373,Harvest Power
22207,4643-32779,Tesla Energy Operations Inc.
22208,4117-40443,1st Light Energy
22209,4533-86143,"Apex Solar Power, LLC"
22210,4493-26599,Direct Energy Solar (formerly Astrum)
22211,4119-31911,"Crest Solar, LLC"
22212,4355-86330-GJ,"SuNation Solar Systems, Inc."
22213,4443-45331-GJ,CIR Electrical Construction Corp.
22214,4154-58332,Green Logic LLC
22215,4548-94186,"Monolith Solar Associates, LLC"
22216,4473-44237,Lighthouse Solar (dba for Sun Source Technologies)
22217,4354-97528,"Sunrise Solar Solutions, LLC"
22218,4116-20497,"Solar Liberty Energy Systems, Inc."
22219,4355-62862-GJ,"SuNation Solar Systems, Inc."
22220,4260-48253,"Fourth Coast, Inc"
22221,4629-90985-GJ,Harvest Power
22222,4160-80314,"Energy By Choice, Ltd."
22223,4375-31076,New York Light Energy LLC
22224,4175-23769,2K Solar Contracting
22225,4355-61832-GJ,"SuNation Solar Systems, Inc."
22226,4493-52171-GJ,Direct Energy Solar (formerly Astrum)
22227,4611-70196-GJ,"CNY Solar, Inc."
22228,4117-45333,1st Light Energy
22229,4443-83346,CIR Electrical Construction Corp.
22230,4493-49127-GJ,Direct Energy Solar (formerly Astrum)
22231,4604-30609,"Allura Solar (dba for Epergy, LLC)"
22232,4533-79167,"Apex Solar Power, LLC"
22233,4116-25418,"Solar Liberty Energy Systems, Inc."
22234,4618-23688,"Atlantech Solar, Inc."
22235,4375-30242,New York Light Energy LLC
22236,4116-29169,"Solar Liberty Energy Systems, Inc."
22237,4629-68724-GJ,Harvest Power
22238,4473-40810,Lighthouse Solar (dba for Sun Source Technologies)
22239,4548-31683,"Monolith Solar Associates, LLC"
22240,4355-89144,"SuNation Solar Systems, Inc."
22241,4116-088,"Solar Liberty Energy Systems, Inc."
22242,4116-32803,"Solar Liberty Energy Systems, Inc."
22243,4584-26105,The Home Depot
22244,4116-011,"Solar Liberty Energy Systems, Inc."
22245,4124-19677,"O'Connell Electric Co., Inc."
22246,4362-44512,"Monolith Solar Associates, LLC"
22247,4340-72880,Voltaic Solaire
22248,4594-55057,"Eastern Energy Systems, Inc."
22249,4376-22098,"EmPower CES, LLC"
22250,4283-101153,Catskill Solar (dba for Quixotic Enterprices or Wire Nutz Electric)
22251,4533-87223,"Apex Solar Power, LLC"
22252,4464-20037,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
22253,4154-94916,Green Logic LLC
22254,4433-63109-GJ,"Majestic Son & Sons, Inc."
